platform,answer_id,question_title,comment_user,comment_text,comment_likes,comment_time,crawl_time
知乎,1932024350502032371,,匿名,不是吧，年轮再出名哪有凉凉出名啊，当时满大街都是凉凉夜色为你思念成河，而且考试考差了或者有什么倒霉事就是一首凉凉送给自己,0,2025-11-23,2026-05-29 17:53:29
知乎,1932024350502032371,,匿名,因为收钱了，她没办法撕小网红，只能硬刚汪。,0,2025-10-21,2026-05-29 17:53:29
知乎,1932024350502032371,,匿名,知乎下沉成这样？,0,2025-08-30,2026-05-29 17:53:29
知乎,1932024350502032371,,匿名,所以就是不理解她这样做的原因呀，大家都体体面面不好吗,0,2025-08-25,2026-05-29 17:53:29
知乎,1932024350502032371,,匿名,不像你，只会阴阳怪气,0,2025-08-25,2026-05-29 17:53:29
知乎,1932024350502032371,,匿名,所以不理解她的人多于站她的人，不知道她这样做意义何在,0,2025-08-25,2026-05-29 17:53:29
知乎,1932024350502032371,,匿名,不过她那个账号还是很挣钱的，因为她会打PK，你可以去看看头部主播PK的收入[感谢] ,0,2025-08-18,2026-05-29 17:53:29
知乎,1932024350502032371,,匿名,她有背景啊，不然凭什么在网上语气那么强硬，唯我独尊的，还能和很多明星合作拍视频,0,2025-08-18,2026-05-29 17:53:29
知乎,1932024350502032371,,匿名,华晨宇舞台强到可怕，被做局之前名声超级好给公司赚特别多，就是孩子事件时候后，他名声差了，加上很多营销号说他法师，其实绝大部分人连癌都没听过更别谈了解歌的创作动机[飙泪笑] ,1,2025-08-18,2026-05-29 17:53:29
知乎,1932024350502032371,,匿名,我觉得追星的粉丝不要败坏自己喜欢的明星形象就行，这种谈恋爱分手就是个中性的事件，至少我听了也没有觉得邓紫棋怎么不好,0,2025-08-14,2026-05-29 17:53:29
知乎,1932024350502032371,,匿名,把一个假消息到处说不就是传谣吗[打招呼]追星图开心也不是建立在传谣基础上吧 邓和Mark甜蜜长跑这么多年也没看出来那儿伤心哈 邓有这样的不关注真相只听营销号的粉丝也是很惨了[握手],0,2025-08-13,2026-05-29 17:53:29
知乎,1932024350502032371,,匿名,这更说明张碧晨是原唱了，汪苏泷自己都承认张是原唱，但张不觉得汪是原唱估计她看到的合同根本没提及汪，汪现在也拿不出强有力的证据表明自己是原唱，那张碧晨说自己是唯一原唱一点毛病没有。,0,2025-08-12,2026-05-29 17:53:29
知乎,1932024350502032371,,匿名,追星不就是图个开心，而且人家就是共情一下伤心的偶像，没觉得传啥谣，如果你觉得邓有没有和法师在一起很重要的话,0,2025-08-07,2026-05-29 17:53:29
知乎,1932024350502032371,,匿名,那你同事粉得很不怎么样了 不了解人家私生活还传谣[思考][思考],0,2025-08-06,2026-05-29 17:53:29
知乎,1932024350502032371,,匿名,不是我说的，我一同事邓紫棋粉丝,0,2025-08-02,2026-05-29 17:53:29
知乎,1932024350502032371,,匿名,不可能不给她唱，汪给z写过好几首歌之前关系也不错不止一次合作过了，怎么可能不让她唱,0,2025-07-31,2026-05-29 17:53:29
知乎,1932024350502032371,,匿名,谭是谁，只知道华晨宇有个孩子,0,2025-07-31,2026-05-29 17:53:29
知乎,1932024350502032371,,匿名,周杰伦给蔡依林定制的布拉格广场，收录进的是蔡依林的个人专辑！去百度看看年轮是反正剧方的专辑里还是张的个人专辑里！我虽然是演艺圈门外汉也知道，就是剧方租的歌，请张来唱而已！,0,2025-07-31,2026-05-29 17:53:29
知乎,1932024350502032371,,匿名,张只是花千骨剧方请来表演的，是剧方买了版权又花钱请张来唱，然后放到影视原声里发行，不是张自己出钱买的版权，唱这首歌还火了，换个张靓颖来唱我觉得也能火，承认双原唱又不是否认她原唱身份！得了便宜还卖乖！情深深雨蒙蒙的《好想好想》就是有男女两版！还拉上周杰伦和许嵩，就问张买断版权了吗！不都是剧方买的！自己一直在蹭还差不多！,0,2025-07-31,2026-05-29 17:53:29
知乎,1932024350502032371,,匿名,邓紫棋那个时候早就有男友了，他俩合作的时候，男朋友就坐在台下看呢我服了，看营销号看多了还以为他俩谈过呢哥们儿[好奇][好奇],0,2025-07-30,2026-05-29 17:53:29
知乎,1932024350502032371,,匿名,不是收回，是版权一直就不在她那里,0,2025-07-30,2026-05-29 17:53:29
知乎,1932024350502032371,,匿名,不知道谁逆天，汪苏泷粉丝可是全网造谣张碧晨白嫖了汪苏泷年轮10年的版权。薛凯琪唱 月，汪苏泷没收钱。那我问你，张碧晨是不是在演唱会上主动说出来了，是不是感谢了汪苏泷。你不收钱，我感谢你，但这不等于说你就得骑我头上拉屎，毕竟又不是我求你别收钱的。这就是双方的一种善意，而汪苏泷粉丝说的像是张碧晨欠他的一样，还全网造谣发洗脑包[惊喜],1,2025-07-29,2026-05-29 17:53:29
知乎,1932024350502032371,,匿名,你这是qq音乐的宣传，跟剧方有什么关系？花千骨剧组宣发从来没有宣传过汪苏泷版的年轮。张碧晨版年轮比汪苏泷版早发行半个月，咋的你只说同月，为什么不提这之间相差半个月呢，“同期录制、同月发行”不知道的人还以为他俩是同时发行的呢。再告诉你一个事实，最开始压根没有所谓双原唱的说法，因为汪苏泷自己版年轮当时原唱标的就是张碧晨。那是什么时候开始整出个双原唱呢？7.23号13点qq音乐突然取消张碧晨年轮原唱标识,1,2025-07-29,2026-05-29 17:53:29
知乎,1932024350502032371,,匿名,那我问你，花千骨剧中有没有放过汪苏泷版的年轮？片头片尾片中有没有出现过汪苏泷的任何有关信息？花千骨制作方回应称选歌是在海蝶公司提供的曲库中选择了张碧晨版的年轮，并没有提到汪苏泷版。一个连备选都没当过的汪版年轮，跟剧方有什么关系？汪苏泷把版权卖给海蝶，海蝶找张碧晨演唱，花千骨选了张碧晨版，这很难理解？qq音乐把汪苏泷版也加到原声合集里，能说明什么？你回答我什么叫“电视剧原声带”？电视剧里都没出现过汪,1,2025-07-29,2026-05-29 17:53:29
知乎,1932024350502032371,,匿名,有背景吧,0,2025-07-29,2026-05-29 17:53:29
知乎,1932024350502032371,,匿名,汪方说有邮件往来证明早就沟通过双主唱，张方说从未听说过双主唱，两方说法矛盾必有一方说谎。那我问你了，实际上这首十年前的歌，汪苏泷和她同期录制、同月发行，此后在各平台官宣两名歌手献唱、电视原声带共同收录汪版，乃至网上几年前早就有的谁是原唱的争议，她说她“从未听说”可能吗？？是不是张方在说谎？[图片],0,2025-07-29,2026-05-29 17:53:29
知乎,1932024350502032371,,匿名,什么汪的年轮跟剧方压根没关系的洗脑包就别复制粘贴了，真的看腻了，花千骨的电视原声带里你就说收没收录汪版吧[图片],0,2025-07-29,2026-05-29 17:53:29
知乎,1932024350502032371,,匿名,薛凯琪在张碧晨的演唱会唱《月》，汪苏泷没有收钱，确实和《年轮》没关系，感谢你的澄清，但是怎么就和张碧晨没关系了？？逆天粉丝，张碧晨的演唱会，是不是她的应该支付的费用？？虽然和年轮没关系，是不是也说明了汪对张是善意的，他们双方原本的关系很友好？？？,0,2025-07-29,2026-05-29 17:53:29
知乎,1932024350502032371,,匿名,这么搞笑的吗？,0,2025-07-28,2026-05-29 17:53:29
知乎,1932024350502032371,,匿名,打住吧，别再传谣了。你说的“以前张碧晨在演唱会上唱《年轮》的时候，还说过汪授权她唱《年轮》不收钱”有视频出处证据吗？你肯定没有，因为这个洗脑包的事实场景是薛凯琪在张碧晨的演唱会唱的 月 ，汪苏泷没有收钱，跟年轮和张碧晨完全没关系。第二点“这个双原唱的事，很多年前网上就有争议，而且汪紧跟着张发完几天就发布自己的版本、音乐平台官号发布两人献唱消息，我觉得足以证明1、汪很喜欢这首歌一直想当双原唱之一”，,2,2025-07-28,2026-05-29 17:53:29
