post_id,url,keyword,publish_time,author_name,author_type,text,repost_count,comment_count,like_count,topic_tag,crawl_time
5192245323497937,https://weibo.com/2378564111/PCHIMeFYl?refer_flag=1001030103_,张碧晨 年轮,2025年07月25日 10:40,娱乐扒皮,媒体,#张碧晨告别年轮# 张碧晨值此《年轮》发行十周年之际，好好和这首作品告个别。 ​​​,2454,7527,382303,张碧晨告别年轮,2026-05-29 16:18:12
5192118454714744,https://weibo.com/5661606921/PCEq9jMwg?refer_flag=1001030103_,张碧晨 年轮,2025年07月25日 02:16,张碧晨Studio,官方/工作室, 张碧晨超话 近日，网络上关于歌曲《年轮》的相关言论引发了不必要的争议与误解。为正视听，也为维护张碧晨女士作为该作品唯一原唱的合法权益，我们郑重说明如下： ​,22415,62736,638101,,2026-05-29 16:18:12
5194218987063944,https://weibo.com/6275217849/PDx46tDEA?refer_flag=1001030103_,张碧晨 年轮,2025年07月30日 21:22,君君的旅行日记,普通用户,我对汪苏泷和张碧晨都不喜欢也不讨厌，就事论事，这事汪苏泷做的就是过分。 如果说张碧晨有错，唯一的问题在于她对于《年轮》唯一原唱的定义，是否让你认同。 “原唱”没有什么法律定义，是行业约定成俗的概念。在我看来，原唱是第一个发行歌曲的人。所以张碧晨是原唱，还是唯一的，我觉得没什么错。 当然，如果你觉得随后立刻发行《年轮》的汪苏泷也是原唱，那是我们的观念不一样，没有对错。 但这不是重点，重点是现在一群人在颠倒黑白，模糊时间线。 真正的时间线是： 旺仔小乔在2021年的一段发言被挖出来，她说《年轮》的原唱是张碧晨。但旺仔小乔也没说对汪苏泷任何不敬的话。 时隔四年，这段发言被有心挖出。两方骂战，我觉得极端的粉丝哪一家都有，很难界定谁对谁错。 随后，张碧晨在qq音乐的《年轮》原唱标识被取消。这时，张碧晨什么话也没说。 汪苏泷率先发声，说要拿回《年轮》的版权，取消所有其他歌手演唱的资格。 直到这时候张碧晨才发声，第一次说自己是唯一原唱。 接下来，粉丝就开始在颠倒黑白，模糊时间线。造成一种假象：汪苏泷说《年轮》是双原唱，张碧晨反驳说自己是唯一原唱，所以汪苏泷收回版权，不让张碧晨唱了，大快人心。 大多数人没那么较真，看到就以为是真的。这几天张碧晨也上了一堆热搜，还被荡妇羞辱，什么偷男明星内裤，偷生孩子。还造谣什么张碧晨偷偷授权给旺仔小乔，来收钱，汪苏泷十年不收钱，免费让张碧晨唱《年轮》，这些弱智谣言被大肆散布，路人被洗脑。 况且张碧晨下个月就要开演唱会，歌单就有《年轮》这首歌，这时候毫无预测的收回演唱权，是不是太过分了点？ 在粉丝的不懈努力下，大家都觉得手握版权就可以为所欲为。殊不知，音乐圈是互相尊重的，演唱者的贡献也很大。 周杰伦给多少人写过歌了？他收回倒带、夏天的风、世界末日的版权了吗？这其中有些人和他关系后来还恶化了，也没见他小气吧啦不让对方唱歌了吧？还有林俊杰、陶喆、王力宏、五月天，谁会干这种事？ 这波操作就是破坏了创作者和歌手之间的相互信任，有法可依，但做得很不厚道，破坏行业环境。 收起 d,1476,5461,72559,,2026-05-29 16:18:12
5289450101804564,https://weibo.com/7835577902/QBx0m7zrS?refer_flag=1001030103_,张碧晨 年轮,04月19日 16:17,勇气可嘉小猫咪,普通用户,希望张碧晨和汪苏泷一起去歌手2026 他们合唱的年轮真的超级好听 作为首发肯定会大爆收视率！而且张碧晨身为年轮的原唱 真的很适合大场面哎 #歌手2026# ​​​,1,219,1793,歌手2026,2026-05-29 16:18:12
5192371266390237,https://weibo.com/1642591402/PCKZUqOol?refer_flag=1001030103_,张碧晨 年轮,2025年07月25日 19:00,新浪娱乐,媒体,#张碧晨方称享有年轮永久演唱权利# #张碧晨不再演唱年轮# ​​​25日， @张碧晨 工作室就《年轮》歌曲引发的舆论争议作出回应，表示经查阅正式合约，张碧晨依法享有该歌曲在全球范围内的永久演唱的权利，但出于尊重与自我选择，张碧晨今后将不再演唱该歌曲。 ​​​,3050,27536,437676,张碧晨方称享有年轮永久演唱权利;张碧晨不再演唱年轮,2026-05-29 16:18:12
5292441175327605,https://weibo.com/5563252632/QCMOFmlX7?refer_flag=1001030103_,张碧晨 年轮,04月27日 22:22,不自信的疯子自信了,普通用户,#歌手2026 张碧晨# 年轮原唱是汪苏泷 ​,3,176,735,歌手2026 张碧晨,2026-05-29 16:18:12
5192232709657176,https://weibo.com/5660519061/PCHoqEwgU?refer_flag=1001030103_,张碧晨 年轮,2025年07月25日 09:50,互联网猫猫头,普通用户,#李思睿 年轮回家# 可以说没有汪苏泷就没有《年轮》这首歌，双原唱对张碧晨也没啥影响，为啥这么坚持唯一原唱呢，就像白浅所说“我的眼睛放在你那儿放了三百年，怎么就变成了你的东西”，旺仔小乔还是太有实力了点，一句话直接让两位歌手难办，张碧晨告别年轮了 ​,213,3274,74537,李思睿 年轮回家,2026-05-29 16:18:12
5193051066600340,https://weibo.com/5663510996/PD2GmrH36?refer_flag=1001030103_,张碧晨 年轮,2025年07月27日 16:01,无视方无终,普通用户,#张碧晨年轮海外版权受限# 如果不是张碧晨这歌谁知道啊！ 不挑事也不怕事！她不唱我们就不听了！ 感觉张碧晨唱的年轮更好听，汪苏泷为什么要收回演唱权，双原唱不好吗 本来还挺喜欢汪苏泷的，因为这件事对他路好转路人了，不会再听他的歌了 ​,127,7386,62100,张碧晨年轮海外版权受限,2026-05-29 16:18:12
5192687763849788,https://weibo.com/2318910945/PCTeog9vm?refer_flag=1001030103_,张碧晨 年轮,2025年07月26日 15:58,新浪热点,媒体,【 #张碧晨方说无需多言# 】7月26日， @张碧晨Studio 发文纪念张碧晨出道11周年，“不必回头，也无需多言。继续唱吧，唱给明天、唱给热爱、唱给心里最清澈的那部分自己。”疑似再回应《年轮》原唱风波。 ​ ​​​,1070,10653,310883,张碧晨方说无需多言,2026-05-29 16:18:12
5192180966884693,https://weibo.com/6004281123/PCG2YsT1r?refer_flag=1001030103_,张碧晨 年轮,2025年07月25日 06:24,梨视频,媒体,【 #张碧晨方回应年轮原唱# 】7月25日凌晨， @张碧晨Studio 发文：“近日，网络上关于歌曲《年轮》的相关言论引发了不必要的争议与误解。为正视听，也为维护张碧晨女士作为该作品唯一原唱的合法权益我们郑重说明。” “一场源于某博主的舆论争议，意外将一首陪伴听众十年的好作品推向风口浪尖，我们倍感遗憾。感谢十年前与《年轮》的相遇，也感谢过去十年《年轮》带来的共鸣、泪水与力量，值此《年轮》发行十周年之际，好好和这首作品告个别。” #多方已注册年轮商标# #年轮商标已被申请注册# 收起 d,978,11211,266053,张碧晨方回应年轮原唱;多方已注册年轮商标;年轮商标已被申请注册,2026-05-29 16:18:12
