comment_id,source_post_id,source_post_url,publish_time,author_name,text_raw,text_clean,like_count,reply_count,platform,stance,frame,emotion,event_stage,keyword_hit,is_valid,crawl_time,stance_confidence,frame_confidence,confidence
5192377369365392,5192371266390237,https://weibo.com/1642591402/PCKZUqOol?refer_flag=1001030103_,Fri Jul 25 19:24:57 +0800 2025,Silence曲奇饼干,给路人们翻译一下 http://t.cn/A6FZpW1A,给路人们翻译一下,81128,2898,weibo,neutral,platform_meta,unclear,response,路人,1,2026-05-30 13:44:31,1.0,0.2101,0.605
5192694391375811,5192687763849788,https://weibo.com/2318910945/PCTeog9vm?refer_flag=1001030103_,Sat Jul 26 16:24:41 +0800 2025,化学家是也,还无需多言吗，我看言得不少了,还无需多言吗，我看言得不少了,76478,1204,weibo,neutral,legal_discussion,unclear,response,,1,2026-05-30 14:09:21,1.0,1.0,1.0
5192695380969157,5192687763849788,https://weibo.com/2318910945/PCTeog9vm?refer_flag=1001030103_,Sat Jul 26 16:28:37 +0800 2025,珠钗摇曳撸狸猫,说了一大堆话后，说无需多言哈哈哈哈哈哈,说了一大堆话后，说无需多言哈哈哈哈哈哈,68638,384,weibo,neutral,legal_discussion,mocking,response,,1,2026-05-30 14:09:21,1.0,1.0,1.0
5192124437889494,5192118454714744,https://weibo.com/5661606921/PCEq9jMwg?refer_flag=1001030103_,Fri Jul 25 02:39:54 +0800 2025,獭是腮泷斯,下一秒汪苏泷写的你火了 年轮汪苏泷的你火了 梦幻诛仙汪苏泷的你火了 偏偏你最火的几次都是汪苏泷的歌[可爱]没有这么不要face的姐姐 撕破脸了可以 版权费交一下行不行 别占尽便宜吃尽红利又反咬一口,下一秒汪苏泷写的你火了 年轮汪苏泷的你火了 梦幻诛仙汪苏泷的你火了 偏偏你最火的几次都是汪苏泷的歌没有这么不要face的姐姐 撕破脸了可以 版权费交一下行不行 别占尽便宜吃尽红利又反咬一口,61759,1208,weibo,neutral,copyright_authorization,unclear,response,,1,2026-05-30 11:37:02,1.0,1.0,1.0
5192248843044085,5192245323497937,https://weibo.com/2378564111/PCHIMeFYl?refer_flag=1001030103_,Fri Jul 25 10:54:14 +0800 2025,女一在手笑看疯狗,Emmm？不是原唱吗[来抱抱]收回别告别,Emmm？不是原唱吗收回别告别,61089,883,weibo,anti_fanwar,fan_conflict,unclear,response,,1,2026-05-30 11:24:48,1.0,1.0,1.0
5192124349809100,5192118454714744,https://weibo.com/5661606921/PCEq9jMwg?refer_flag=1001030103_,Fri Jul 25 02:39:33 +0800 2025,但西多士不足W_,职场中小心这种人[流鼻血],职场中小心这种人,43022,157,weibo,unclear,fan_conflict,unclear,response,,1,2026-05-30 11:37:02,0.301,0.1941,0.2476
5192262944031796,5192245323497937,https://weibo.com/2378564111/PCHIMeFYl?refer_flag=1001030103_,Fri Jul 25 11:50:15 +0800 2025,宇宙甜心小圆脸,汪苏泷方及粉丝自始至终坚持「双原唱」，从未否认过张碧晨方原唱身份，作为剧方邀约的「作词作曲+演唱」者立项之初便为原唱，收回一切授权后也坚称双原唱；张碧晨方引导粉丝并官方宣称「唯一原唱」，不尊重他人劳动成果，引导粉丝挑起对立，且列举的证据均为「主观上传无真实性」原创音乐人无妄之灾,汪苏泷方及粉丝自始至终坚持「双原唱」，从未否认过张碧晨方原唱身份，作为剧方邀约的「作词作曲+演唱」者立项之初便为原唱，收回一切授权后也坚称双原唱；张碧晨方引导粉丝并官方宣称「唯一原唱」，不尊重他人劳动成果，引导粉丝挑起对立，且列举的证据均为「主观上传无真实性」原创音乐人无妄之灾,39222,381,weibo,support_zhang,creator_identity,unclear,response,唯一原唱;作词作曲;授权,1,2026-05-30 11:24:48,0.0563,0.8548,0.4556
5192378371277830,5192371266390237,https://weibo.com/1642591402/PCKZUqOol?refer_flag=1001030103_,Fri Jul 25 19:28:55 +0800 2025,CY_SILENCE,汪苏泷方及粉丝自始至终坚持「双原唱」，从未否认过张碧晨方原唱身份，作为剧方邀约的「作词作曲+演唱」者立项之初便为原唱，收回一切授权后也坚称双原唱；张碧晨方引导粉丝并官方宣称「唯一原唱」，不尊重他人劳动成果，引导粉丝挑起对立，且列举的证据均为「主观上传无真实性」原创音乐人无妄之灾 http://t.cn/A6FZ0Aml,汪苏泷方及粉丝自始至终坚持「双原唱」，从未否认过张碧晨方原唱身份，作为剧方邀约的「作词作曲+演唱」者立项之初便为原唱，收回一切授权后也坚称双原唱；张碧晨方引导粉丝并官方宣称「唯一原唱」，不尊重他人劳动成果，引导粉丝挑起对立，且列举的证据均为「主观上传无真实性」原创音乐人无妄之灾,38801,407,weibo,support_zhang,creator_identity,unclear,response,唯一原唱;作词作曲;授权,1,2026-05-30 13:42:51,0.0563,0.8548,0.4556
5192129649574887,5192118454714744,https://weibo.com/5661606921/PCEq9jMwg?refer_flag=1001030103_,Fri Jul 25 03:00:36 +0800 2025,生虾滑,小泷包们从来没否认过zbc不是原唱啊。。一直强调的双原唱 哥哥的对接号也强调的双原唱啊。。。哥哥对zbc够好了吧我记得有一次都没收版权费来着 你们怎么这样搞被刺呢没有汪苏泷哪来的年轮？？年轮回家[加油][加油][加油],小泷包们从来没否认过zbc不是原唱啊。。一直强调的双原唱 哥哥的对接号也强调的双原唱啊。。。哥哥对zbc够好了吧我记得有一次都没收版权费来着 你们怎么这样搞被刺呢没有汪苏泷哪来的年轮？？年轮回家,37831,507,weibo,support_zhang,original_singer,unclear,response,,1,2026-05-30 11:37:02,1.0,1.0,1.0
5192379096368591,5192371266390237,https://weibo.com/1642591402/PCKZUqOol?refer_flag=1001030103_,Fri Jul 25 19:31:49 +0800 2025,Milkbaek,人家没说是这首啊？我照着这样发一个是不是也能说我有《年轮》永久演唱权利了？[思考] http://t.cn/A6FZ0KwC,人家没说是这首啊？我照着这样发一个是不是也能说我有《年轮》永久演唱权利了？,28687,362,weibo,neutral,legal_discussion,unclear,response,永久演唱权,1,2026-05-30 13:41:50,1.0,0.2074,0.6037
